image_path,mask_path
dataset/Land8Fire/images/patches/LC08_L1TP_105069_20200906_20200906_01_RT_patch_00256_07424.tif,dataset/Land8Fire/masks/patches/LC08_L1TP_105069_20200906_20200906_01_RT_patch_00256_07424.png
dataset/Land8Fire/images/patches/LC08_L1TP_042034_20200912_20200912_01_RT_patch_00256_02304.tif,dataset/Land8Fire/masks/patches/LC08_L1TP_042034_20200912_20200912_01_RT_patch_00256_02304.png
dataset/Land8Fire/images/patches/LC08_L1TP_175074_20200916_20200916_01_RT_patch_05632_05888.tif,dataset/Land8Fire/masks/patches/LC08_L1TP_175074_20200916_20200916_01_RT_patch_05632_05888.png
dataset/Land8Fire/images/patches/LC08_L1TP_227072_20200912_20200912_01_RT_patch_02816_00512.tif,dataset/Land8Fire/masks/patches/LC08_L1TP_227072_20200912_20200912_01_RT_patch_02816_00512.png
dataset/Land8Fire/images/patches/LC08_L1TP_229078_20200926_20200926_01_RT_patch_04096_01536.tif,dataset/Land8Fire/masks/patches/LC08_L1TP_229078_20200926_20200926_01_RT_patch_04096_01536.png
dataset/Land8Fire/images/patches/LC08_L1TP_119017_20200924_20200924_01_RT_patch_00768_05120.tif,dataset/Land8Fire/masks/patches/LC08_L1TP_119017_20200924_20200924_01_RT_patch_00768_05120.png
dataset/Land8Fire/images/patches/LC08_L1TP_175074_20200916_20200916_01_RT_patch_03584_07168.tif,dataset/Land8Fire/masks/patches/LC08_L1TP_175074_20200916_20200916_01_RT_patch_03584_07168.png
dataset/Land8Fire/images/patches/LC08_L1TP_046021_20200908_20200908_01_RT_patch_05888_04864.tif,dataset/Land8Fire/masks/patches/LC08_L1TP_046021_20200908_20200908_01_RT_patch_05888_04864.png
dataset/Land8Fire/images/patches/LC08_L1TP_175074_20200916_20200916_01_RT_patch_01024_00000.tif,dataset/Land8Fire/masks/patches/LC08_L1TP_175074_20200916_20200916_01_RT_patch_01024_00000.png
dataset/Land8Fire/images/patches/LC08_L1TP_175074_20200916_20200916_01_RT_patch_03840_06656.tif,dataset/Land8Fire/masks/patches/LC08_L1TP_175074_20200916_20200916_01_RT_patch_03840_06656.png
dataset/Land8Fire/images/patches/LC08_L1TP_025033_20200921_20200921_01_RT_patch_00256_06912.tif,dataset/Land8Fire/masks/patches/LC08_L1TP_025033_20200921_20200921_01_RT_patch_00256_06912.png
dataset/Land8Fire/images/patches/LC08_L1TP_119016_20200924_20200924_01_RT_patch_01792_04096.tif,dataset/Land8Fire/masks/patches/LC08_L1TP_119016_20200924_20200924_01_RT_patch_01792_04096.png
dataset/Land8Fire/images/patches/LC08_L1TP_046031_20200908_20200908_01_RT_patch_02560_00256.tif,dataset/Land8Fire/masks/patches/LC08_L1TP_046031_20200908_20200908_01_RT_patch_02560_00256.png
dataset/Land8Fire/images/patches/LC08_L1TP_117016_20200926_20200926_01_RT_patch_05120_02560.tif,dataset/Land8Fire/masks/patches/LC08_L1TP_117016_20200926_20200926_01_RT_patch_05120_02560.png
dataset/Land8Fire/images/patches/LC08_L1TP_179068_20200912_20200912_01_RT_patch_02560_01024.tif,dataset/Land8Fire/masks/patches/LC08_L1TP_179068_20200912_20200912_01_RT_patch_02560_01024.png
dataset/Land8Fire/images/patches/LC08_L1TP_179068_20200912_20200912_01_RT_patch_06400_06144.tif,dataset/Land8Fire/masks/patches/LC08_L1TP_179068_20200912_20200912_01_RT_patch_06400_06144.png
dataset/Land8Fire/images/patches/LC08_L1TP_046029_20200908_20200908_01_RT_patch_05120_00256.tif,dataset/Land8Fire/masks/patches/LC08_L1TP_046029_20200908_20200908_01_RT_patch_05120_00256.png
dataset/Land8Fire/images/patches/LC08_L1TP_025033_20200921_20200921_01_RT_patch_01536_05120.tif,dataset/Land8Fire/masks/patches/LC08_L1TP_025033_20200921_20200921_01_RT_patch_01536_05120.png
dataset/Land8Fire/images/patches/LC08_L1TP_045032_20200901_20200901_01_RT_patch_06912_03584.tif,dataset/Land8Fire/masks/patches/LC08_L1TP_045032_20200901_20200901_01_RT_patch_06912_03584.png
dataset/Land8Fire/images/patches/LC08_L1TP_041035_20200921_20200921_01_RT_patch_04352_04608.tif,dataset/Land8Fire/masks/patches/LC08_L1TP_041035_20200921_20200921_01_RT_patch_04352_04608.png
dataset/Land8Fire/images/patches/LC08_L1TP_046031_20200908_20200908_01_RT_patch_02816_04352.tif,dataset/Land8Fire/masks/patches/LC08_L1TP_046031_20200908_20200908_01_RT_patch_02816_04352.png
